movie,year,imdb,metascore,vote
Tenet,2020.0,7.4,69.0,412923.0
The Queen's Gambit,2020.0,8.6,,345059.0
Soul,2020.0,8.1,83.0,273979.0
Wonder Woman 1984,2020.0,5.4,60.0,225754.0
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020.0,6.1,60.0,204379.0
The Invisible Man,2020.0,7.1,72.0,190335.0
Extraction,2020.0,6.7,56.0,177223.0
The Trial of the Chicago 7,2020.0,7.8,76.0,156168.0
Enola Holmes,2020.0,6.6,68.0,147742.0
A Quiet Place Part II,2020.0,7.3,71.0,144527.0
The Old Guard,2020.0,6.7,70.0,144118.0
Bad Boys for Life,2020.0,6.6,59.0,142640.0
Mulan,2020.0,5.7,66.0,134059.0
Scam 1992: The Harshad Mehta Story,2020.0,9.5,,129321.0
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020.0,6.7,68.0,128983.0
Palm Springs,2020.0,7.4,83.0,126910.0
Onward,2020.0,7.4,61.0,124212.0
Dil Bechara,2020.0,8.1,,123451.0
Nomadland,2020.0,7.4,93.0,122726.0
Promising Young Woman,2020.0,7.5,73.0,121947.0
I Care a Lot,2020.0,6.3,66.0,112171.0
The Devil All the Time,2020.0,7.1,55.0,110950.0
Sonic the Hedgehog,2020.0,6.5,47.0,104412.0
Love and Monsters,2020.0,7.0,63.0,103977.0
Druk,2020.0,7.8,79.0,103182.0
Greenland,2020.0,6.4,64.0,97547.0
The Last Dance,2020.0,9.1,,95120.0
Sadak 2,2020.0,1.1,,92527.0
The Father,2020.0,8.3,88.0,89285.0
Soorarai Pottru,2020.0,9.1,,88971.0
The Hunt,2020.0,6.5,50.0,87426.0
Bridgerton,2020.0,7.3,,86169.0
Eurovision Song Contest: The Story of Fire Saga,2020.0,6.5,50.0,85209.0
Greyhound,2020.0,7.0,64.0,81921.0
The Haunting of Bly Manor,2020.0,7.4,,79364.0
Spenser Confidential,2020.0,6.2,49.0,78953.0
Dara iz Jasenovca,2020.0,8.9,,78944.0
Project Power,2020.0,6.0,51.0,78772.0
